date,lat,lon,intensity
1939/05/21,37.564,-118.416,3.61
1939/09/07,35.381,-121.155,3.19
1939/09/29,30.780,-115.593,4.01
1939/10/19,37.698,-118.418,3.48
1939/11/06,30.597,-116.284,4.16
1939/12/14,36.209,-120.384,3.10
1939/12/28,35.953,-120.973,5.17
1939/12/30,35.918,-120.591,3.73
1940/02/24,37.599,-118.631,4.28
1940/02/24,37.633,-118.600,3.54
1940/03/25,36.795,-117.119,3.61
1940/04/08,37.613,-118.301,3.94
1940/05/08,37.860,-118.670,4.31
1940/05/21,35.258,-121.176,4.08
1940/05/26,31.000,-115.000,4.47
1940/06/04,33.096,-114.700,3.47
1940/06/26,36.328,-120.156,3.47
1940/06/27,31.000,-115.000,3.96
1940/07/08,37.593,-118.885,4.49
1940/07/21,37.770,-118.388,3.27
1940/07/21,38.017,-117.946,3.35
1940/07/22,37.611,-118.787,4.60
1940/07/23,37.826,-118.420,3.57
1940/08/13,36.289,-120.574,4.02
1940/11/01,37.579,-118.406,3.14
1940/12/07,31.069,-114.853,6.05
1940/12/09,30.968,-115.535,4.32
1940/12/09,31.439,-115.400,4.08
1940/12/11,30.996,-115.669,3.79
1940/12/12,31.250,-115.000,3.89
1940/12/13,31.250,-115.000,3.90
1940/12/14,31.079,-115.268,3.89
1940/12/18,30.663,-116.091,4.07
1941/01/09,31.159,-115.057,5.23
1941/01/12,31.000,-117.000,3.86
1941/02/23,31.000,-115.000,4.00
1941/03/27,37.552,-119.843,3.75
1941/05/08,37.606,-118.300,3.76
1941/06/25,31.000,-115.000,4.42
1941/07/03,37.661,-118.496,3.16
1941/07/09,31.250,-115.000,3.69
1941/07/18,31.000,-115.500,4.09
1941/08/27,37.608,-118.190,3.45
1941/09/14,37.549,-118.616,5.63
1941/09/14,37.542,-118.576,4.49
1941/09/14,38.557,-118.392,5.89
1941/09/14,38.679,-118.341,6.12
1941/09/14,37.500,-118.500,4.01
1941/09/14,37.500,-118.500,4.51
1941/09/22,37.730,-118.456,3.99
1941/09/27,37.694,-118.498,3.87
1941/09/28,37.500,-118.500,3.27
1941/10/07,37.673,-118.446,3.35
1941/10/08,37.670,-118.502,3.07
1941/10/09,37.683,-118.416,3.06
1941/10/18,37.818,-118.355,3.57
1941/10/23,37.743,-118.282,3.15
1941/10/23,37.672,-118.471,3.86
1941/10/24,37.617,-118.449,3.59
1941/10/27,37.697,-118.361,3.51
1941/11/04,37.757,-118.170,4.25
1941/11/10,37.697,-118.445,3.44
1941/11/15,38.532,-118.355,4.09
1941/11/16,37.500,-118.500,3.28
1941/11/25,37.500,-118.500,3.15
1941/11/26,37.165,-118.120,3.28
1941/11/28,36.080,-119.857,3.49
1941/12/18,37.657,-118.469,3.51
1941/12/22,35.854,-120.660,3.74
1941/12/31,37.804,-118.378,5.36
1941/12/31,37.676,-118.400,3.76
1941/12/31,37.687,-118.372,3.75
1941/12/31,37.877,-118.581,3.65
1941/12/31,37.667,-118.667,3.75
1941/12/31,37.794,-118.442,4.47
1941/12/31,37.704,-118.237,3.50
1942/01/01,37.667,-118.667,3.35
1942/01/01,37.736,-118.338,4.37
1942/01/01,37.573,-118.474,3.28
1942/01/02,37.967,-118.548,4.09
1942/01/03,37.679,-118.382,3.32
1942/01/06,37.667,-118.667,3.63
1942/01/06,37.667,-118.667,3.51
1942/01/06,37.667,-118.667,3.36
1942/01/15,37.691,-118.661,3.32
1942/01/23,37.500,-118.500,3.42
1942/02/01,37.693,-118.407,3.03
1942/02/04,37.669,-118.469,4.25
1942/02/04,37.670,-118.372,3.47
1942/02/04,37.653,-118.487,4.02
1942/02/26,37.740,-118.448,3.93
1942/02/27,37.696,-118.415,3.88
1942/03/01,37.667,-118.500,3.38
1942/03/02,37.667,-118.500,3.02
1942/03/08,37.667,-118.500,3.03
1942/03/09,37.667,-118.500,3.65
1942/03/20,37.667,-118.500,3.18
1942/04/17,37.683,-118.344,3.27
1942/05/06,37.665,-118.458,3.64
1942/06/05,37.676,-118.183,4.10
1942/06/05,37.652,-118.364,3.11
1942/06/10,37.702,-118.280,3.35
1942/06/29,35.600,-120.800,3.90
1942/07/06,37.670,-118.404,4.43
1942/07/08,37.718,-118.415,4.23
1942/08/20,37.610,-118.471,3.76
1942/08/20,37.700,-118.501,3.85
1942/08/20,37.677,-118.424,3.82
1942/08/21,37.648,-118.467,4.03
1942/08/24,37.656,-118.182,3.50
1942/09/07,37.666,-118.510,3.99
1942/09/21,37.716,-118.344,3.85
1942/09/23,37.738,-118.454,3.21
1942/09/25,37.792,-118.457,3.26
1942/10/29,37.632,-118.484,3.52
1942/10/29,37.426,-118.651,3.01
1942/10/30,37.751,-118.442,4.17
1942/10/31,35.844,-120.401,4.09
1942/11/03,37.613,-118.405,3.42
1942/11/06,37.868,-118.286,3.56
1942/11/06,38.181,-118.109,3.38
1942/11/06,37.898,-118.484,3.43
1942/12/05,31.000,-115.000,3.75
1942/12/05,37.693,-118.216,4.31
1942/12/06,31.000,-115.000,3.58
1942/12/06,36.123,-122.019,3.99
1942/12/10,37.750,-118.219,3.22
1943/01/01,37.651,-118.424,4.10
1943/02/18,37.670,-118.758,3.93
1943/02/18,37.635,-119.026,3.67
1943/03/04,37.249,-117.918,3.35
1943/05/31,37.418,-118.008,4.23
1943/06/06,37.358,-118.255,3.22
1943/06/22,37.687,-118.461,3.89
1943/07/15,35.930,-120.185,3.06
1943/08/10,37.910,-118.493,3.27
1943/10/02,37.381,-117.978,3.15
1943/10/31,36.145,-121.053,3.62
1943/11/03,37.696,-118.383,3.28
1943/11/03,37.690,-118.369,3.71
1943/11/08,36.041,-120.469,3.12
1943/11/30,36.664,-121.298,4.04
1944/02/02,37.925,-121.404,3.79
1944/02/21,36.928,-121.382,3.73
1944/02/28,37.667,-118.500,3.36
1944/06/08,37.635,-118.421,3.94
1944/06/08,37.636,-118.418,3.78
1944/07/09,37.759,-118.460,3.89
1944/07/20,37.682,-118.177,3.83
1944/09/07,36.559,-121.537,3.51
1944/09/13,31.000,-120.000,3.81
1944/09/14,37.662,-118.328,3.88
1944/09/18,36.112,-121.018,3.50
1944/09/30,36.106,-114.701,3.34
1944/10/09,38.447,-117.370,3.58
1944/10/20,37.995,-118.444,3.63
1944/10/30,35.443,-121.131,3.71
1944/11/02,36.761,-121.094,3.94
1944/11/17,37.453,-118.297,4.01
1944/11/27,37.574,-117.254,3.71
1944/11/28,35.861,-120.346,3.38
1944/12/02,35.500,-121.000,3.48
1944/12/11,37.510,-118.376,3.41
1944/12/24,37.044,-118.192,3.59
1945/02/25,35.989,-120.745,3.40
1945/03/10,37.527,-118.382,3.47
1945/04/20,31.942,-114.841,4.13
1945/04/22,32.000,-114.800,4.19
1945/04/22,32.000,-114.500,4.39
1945/04/25,37.736,-118.310,3.20
1945/05/02,37.536,-118.306,3.46
1945/05/08,37.534,-118.369,4.20
1945/05/11,30.884,-115.897,5.15
1945/06/14,37.017,-117.418,4.67
1945/07/30,37.226,-118.042,4.01
1945/08/11,37.047,-119.441,3.14
1945/08/14,30.775,-116.844,4.27
1945/08/17,37.673,-118.286,4.16
1945/09/04,37.225,-118.007,3.95
1945/09/07,35.879,-120.680,4.01
1946/01/13,37.617,-118.382,4.42
1946/03/17,39.769,-118.098,5.32
1946/05/01,37.328,-117.959,3.74
1946/05/14,37.502,-118.071,3.64
1946/05/14,37.539,-118.377,3.26
1946/07/05,37.714,-118.233,3.19
1946/11/27,35.746,-120.933,4.16
1946/11/28,35.492,-120.878,3.12
1946/12/01,37.308,-117.263,3.23
1946/12/01,37.223,-117.402,3.48
1946/12/01,37.231,-117.333,3.21
1946/12/27,37.724,-118.455,3.82
1946/12/27,37.766,-118.397,3.32
1947/01/07,37.250,-118.174,3.34
1947/01/11,37.565,-118.337,4.24
1947/01/14,37.204,-117.349,3.83
1947/01/14,37.173,-117.362,3.34
1947/01/19,35.472,-121.028,3.32
1947/01/29,31.000,-115.000,3.45
1947/02/18,37.178,-117.376,3.31
1947/02/20,38.325,-118.483,3.75
1947/05/14,34.750,-114.500,3.40
1947/06/21,30.959,-116.127,4.77
1947/09/23,38.000,-115.000,3.89
1947/12/18,35.979,-120.947,3.56
1947/12/24,36.552,-120.817,3.60
1948/02/06,37.373,-118.040,4.08
1948/02/15,35.833,-120.538,3.44
1948/06/04,30.786,-115.218,4.58
1948/06/16,37.620,-118.418,3.86
1948/08/04,35.913,-120.543,3.53
1948/08/06,37.531,-118.290,4.07
1948/08/06,38.549,-117.853,3.42
1948/08/30,37.500,-116.000,4.19
1948/09/09,37.451,-118.028,3.46
1948/12/20,35.865,-122.076,4.35
1949/01/04,38.046,-118.394,3.50
1949/02/11,37.938,-117.533,5.52
1949/02/26,37.557,-118.458,3.89
1949/03/08,37.738,-118.447,3.70
1949/04/13,37.680,-118.385,4.53
1949/08/09,36.063,-120.588,3.40
1949/08/21,37.128,-117.192,3.64
1949/08/29,36.171,-120.421,3.71
1949/10/14,35.955,-120.068,3.52
1949/10/20,37.667,-118.440,3.32
1949/10/24,37.641,-118.406,3.29
1949/10/24,37.550,-118.459,3.93
1949/11/10,36.691,-121.640,3.83
1949/11/14,37.378,-118.499,3.62
1949/12/09,37.496,-118.479,4.00
1949/12/09,37.529,-118.048,4.36
1949/12/14,37.804,-116.358,3.82
1950/01/14,37.024,-119.730,3.68
1950/02/01,30.507,-114.465,3.90
1950/02/02,30.500,-114.500,4.13
1950/02/03,30.500,-114.500,4.16
1950/02/03,30.500,-114.500,3.97
1950/02/28,37.285,-118.223,3.52
1950/03/29,36.221,-121.245,3.48
1950/09/28,37.456,-118.347,3.95
1950/10/20,36.581,-120.319,3.32
1950/12/07,32.649,-114.799,3.72
1950/12/07,32.081,-114.758,4.11
1950/12/07,32.029,-115.198,3.11
1950/12/25,37.301,-118.189,3.64
1950/12/26,37.330,-118.268,3.22
1951/01/02,37.298,-118.308,3.02
1951/01/04,37.209,-117.949,3.56
1951/01/26,37.661,-118.165,3.45
